name,code,freq,info,probab,length
" ",000,14691,2.47670961006913,0.17965367965368,3
"e",111,7759,3.397699580714,0.0948834592902389,3
"t",0101,5032,4.02243838461977,0.0615354513659598,4
"i",0111,4503,4.18268382915721,0.0550664025240296,4
"o",1000,4497,4.18460742283004,0.0549930295693008,4
"r",1001,4439,4.20333559817396,0.0542837576735882,4
"n",1011,4320,4.24253899444822,0.0528285274047986,4
"a",1100,4248,4.2667865406949,0.051948051948052,4
"s",00100,3862,4.4042221425484,0.0472277251938269,5
"c",01101,2332,5.13200251829856,0.0285176217379607,5
"d",10101,2154,5.24655205695485,0.0263408907476704,5
"h",11010,2051,5.3172428150192,0.0250813216914912,5
"l",001010,1985,5.36443129946873,0.0242742191894734,6
"m",001100,1649,5.63197890806159,0.0201653337246558,6
"
",010000,1373,5.89623868135195,0.016790177807127,6
"",001111,1373,5.89623868135195,0.016790177807127,6
"p",010001,1355,5.91527745525782,0.0165700589429403,6
"u",010010,1312,5.96180258688097,0.0160442194340499,6
"f",011001,1189,6.1038215917534,0.0145400738621078,6
"g",110110,1038,6.29976386314117,0.0126935211680974,6
"y",0010110,951,6.42605306063849,0.0116296133245286,7
".",0011010,838,6.6085481577997,0.0102477560104679,7
",",0011101,694,6.88056273892079,0.00848680509697459,7
"b",0100110,651,6.97284085833342,0.00796096558808423,7
"L",0110001,601,7.08813341078787,0.00734952429867684,7
"A",1010000,586,7.12459773707681,0.00716609191185462,7
"w",1010011,518,7.3025463038125,0.00633453175826057,7
"v",1101111,485,7.39751365442457,0.00593098050725169,7
"P",00110110,416,7.61891487335796,0.00508719152786949,8
"T",00111001,355,7.84767937710701,0.00434123315479248,8
"S",01001111,307,8.05725974612888,0.00375424951696138,8
"C",01100000,305,8.06668915904881,0.00372979186538509,8
"M",01100001,300,8.09053590100317,0.00366864773644435,8
"k",11011101,247,8.37098735991438,0.00302051996967251,8
"N",001011101,234,8.44898987191565,0.00286154523442659,9
"I",001011110,221,8.53145203210762,0.00270257049918067,9
"E",001101110,200,8.67549840172433,0.00244576515762956,9
"O",001101111,194,8.71944174931193,0.00237239220290068,9
"U",001110001,179,8.8355388142348,0.00218895981607846,9
"D",010011100,175,8.86814347966673,0.00214004451292587,9
")",101000101,148,9.10990122587011,0.00180986621664588,9
"(",101000100,148,9.10990122587011,0.00180986621664588,9
"1",101000110,144,9.14942959005674,0.00176095091349329,9
"W",101001001,136,9.23189175024872,0.0016631203071881,9
"R",101001010,133,9.26407215599787,0.00162643382982366,9
"""",101001011,132,9.2749604721406,0.00161420500403551,9
"2",110111001,119,9.42453682819111,0.00145523026878959,9
"x",0010111000,118,9.43671154213721,0.00144300144300144,10
"3",0010111111,95,9.74949898316811,0.00116173844987404,10
"'",0011100000,92,9.79579263544204,0.0011250519725096,10
"F",1010001110,72,10.1494295900567,0.000880475456746643,10
"_",1010001111,70,10.1900715745541,0.000856017805170348,10
"4",1010010000,69,10.2108301347209,0.0008437889793822,10
"-",1101110000,67,10.2532654010413,0.000819331327805904,10
"q",1101110001,65,10.2969867784706,0.000794873676229608,10
"5",00101110010,59,10.4367115421372,0.000721500721500722,11
"H",00101110011,58,10.4613735963715,0.000709271895712574,11
"B",00101111101,53,10.5914341369359,0.000648127766771835,11
"j",00111000010,48,10.7343920907779,0.000586983637831095,11
"G",01001110100,43,10.893089836797,0.000525839508890356,11
";",01001110110,41,10.961802586881,0.000501381857314061,11
"0",10100100010,34,11.2318917502487,0.000415780076797026,11
"/",001011111001,25,11.6754984017243,0.000305720644703696,12
":",001110000110,23,11.795792635442,0.0002812629931274,12
"9",010011101011,21,11.9270371687203,0.000256805341551104,12
"z",010011101010,21,11.9270371687203,0.000256805341551104,12
"Y",001110000111,21,11.9270371687203,0.000256805341551104,12
"6",010011101110,19,12.0714270780555,0.000232347689974809,12
"V",010011101111,18,12.1494295900567,0.000220118864186661,12
"8",101001000111,17,12.2318917502487,0.000207890038398513,12
"7",101001000110,17,12.2318917502487,0.000207890038398513,12
"+",00101111100010,6,13.7343920907779,7.33729547288869e-05,14
"]",001011111000010,4,14.3193545914991,4.89153031525913e-05,15
"[",001011111000001,4,14.3193545914991,4.89153031525913e-05,15
"J",001011111000110,3,14.7343920907779,3.66864773644435e-05,15
"K",001011111000011,3,14.7343920907779,3.66864773644435e-05,15
"X",0010111110000001,3,14.7343920907779,3.66864773644435e-05,16
"%",0010111110000000,3,14.7343920907779,3.66864773644435e-05,16
"\",0010111110001110,2,15.3193545914991,2.44576515762956e-05,16
"Q",0010111110001111,1,16.3193545914991,1.22288257881478e-05,16
